id_codigo_depart;id_nivel_esco;anio;num_poblacion;tipo_metrica;tasa
18,;2,;2019,;98675;Desercion;2,69%
18,;2,;2020,;98602;Desercion;3,31%
18,;2,;2021,;98412;Desercion;3,5%
18,;2,;2022,;97946;Desercion;2,57%
18,;2,;2023,;97237;Desercion;4,26%
19,;2,;2011,;328682;Desercion;3,14%
19,;2,;2012,;325212;Desercion;4,5%
19,;2,;2013,;320510;Desercion;1,%
19,;2,;2014,;316362;Desercion;1,82%
19,;2,;2015,;312453;Desercion;3,83%
19,;2,;2016,;307989;Desercion;4,31%
19,;2,;2017,;303777;Desercion;7,25%
19,;2,;2018,;301714;Desercion;9,83%
19,;2,;2019,;299016;Desercion;1,91%
19,;2,;2020,;296813;Desercion;3,38%
19,;2,;2021,;294933;Desercion;2,01%
19,;2,;2022,;295168;Desercion;3,47%
19,;2,;2023,;294377;Desercion;1,32%
20,;2,;2011,;263789;Desercion;2,03%
20,;2,;2012,;263271;Desercion;3,85%
20,;2,;2013,;262240;Desercion;3,8%
20,;2,;2014,;261493;Desercion;4,41%
20,;2,;2015,;260802;Desercion;1,72%
20,;2,;2016,;259794;Desercion;1,94%
20,;2,;2017,;259051;Desercion;3,25%
20,;2,;2018,;288411;Desercion;2,35%
20,;2,;2019,;296234;Desercion;4,27%
20,;2,;2020,;302403;Desercion;2,97%
20,;2,;2021,;305550;Desercion;2,72%
20,;2,;2022,;308443;Desercion;2,6%
20,;2,;2023,;310910;Desercion;3,37%
23,;2,;2011,;405431;Desercion;2,91%
23,;2,;2012,;405302;Desercion;3,04%
23,;2,;2013,;407589;Desercion;2,43%
23,;2,;2014,;408623;Desercion;5,87%
23,;2,;2015,;409982;Desercion;4,21%
23,;2,;2016,;411715;Desercion;1,8%
23,;2,;2017,;413883;Desercion;5,%
23,;2,;2018,;386239;Desercion;2,08%
23,;2,;2019,;387454;Desercion;3,4%
23,;2,;2020,;388446;Desercion;0,94%
23,;2,;2021,;388712;Desercion;1,95%
23,;2,;2022,;390847;Desercion;3,8%
23,;2,;2023,;391239;Desercion;2,34%
25,;2,;2011,;570954;Desercion;5,99%
25,;2,;2012,;571082;Desercion;3,95%
25,;2,;2013,;572012;Desercion;2,97%
25,;2,;2014,;573948;Desercion;1,29%
25,;2,;2015,;576429;Desercion;2,72%
25,;2,;2016,;577612;Desercion;2,54%
25,;2,;2017,;579364;Desercion;1,39%
25,;2,;2018,;547875;Desercion;2,7%
25,;2,;2019,;570377;Desercion;4,11%
25,;2,;2020,;592264;Desercion;1,31%
25,;2,;2021,;610367;Desercion;3,96%
25,;2,;2022,;583695;Desercion;1,78%
25,;2,;2023,;598065;Desercion;2,24%
27,;2,;2011,;145587;Desercion;4,36%
27,;2,;2012,;145607;Desercion;3,52%
27,;2,;2013,;145133;Desercion;1,96%
27,;2,;2014,;145299;Desercion;3,54%
27,;2,;2015,;145625;Desercion;2,68%
27,;2,;2016,;145596;Desercion;0,75%
27,;2,;2017,;145765;Desercion;2,07%
27,;2,;2018,;143975;Desercion;4,74%
27,;2,;2019,;143999;Desercion;3,67%
27,;2,;2020,;143711;Desercion;2,37%
27,;2,;2021,;143120;Desercion;1,98%
27,;2,;2022,;147806;Desercion;3,1%
27,;2,;2023,;147698;Desercion;2,24%
41,;2,;2011,;275956;Desercion;2,82%
41,;2,;2012,;273653;Desercion;3,04%
41,;2,;2013,;272091;Desercion;4,45%
41,;2,;2014,;270459;Desercion;0,4%
41,;2,;2015,;269323;Desercion;2,53%
41,;2,;2016,;268744;Desercion;6,39%
41,;2,;2017,;268582;Desercion;3,79%
41,;2,;2018,;242238;Desercion;7,73%
41,;2,;2019,;242194;Desercion;8,15%
41,;2,;2020,;242199;Desercion;3,42%
41,;2,;2021,;242129;Desercion;2,07%
41,;2,;2022,;247652;Desercion;1,57%
41,;2,;2023,;248849;Desercion;2,45%
